"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7008","Login using: laura.taylor1234@example.com and xxxxxx","chromium","2026-08-05","passed","2026-08-05","Login Data verification","webshopLoginDDTest.spec.ts","",""
"","13636","Locator- getByLabel","chromium","2026-08-05","broken","2026-08-05","","builtinLocators.spec.ts","",""
"","7435","Phones count","chromium","2026-08-05","passed","2026-08-05","","fixtureLogin.spec.ts","",""
"","5322","Laptops count","chromium","2026-08-05","passed","2026-08-05","","fixtureLogin.spec.ts","",""
"","450","Locator- getByTestId","chromium","2026-08-05","passed","2026-08-05","","builtinLocators.spec.ts","",""
"","9116","Download File","chromium","2026-08-05","passed","2026-08-05","","fileUploadandDownload.spec.ts","",""
"","7899","Login using: laura.taylor1234@example.com and test123","chromium","2026-08-05","passed","2026-08-05","Login Data verification","webshopLoginDDTest.spec.ts","",""
"","3093","has title","chromium","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","5875","Login using: laura.taylor1234@example.com and test12321","chromium","2026-08-05","passed","2026-08-05","Login Data verification","webshopLoginDDTest.spec.ts","",""
"","14057","File Upload- Single and multiple","chromium","2026-08-05","broken","2026-08-05","","fileUploadandDownload.spec.ts","",""
"","4293","verify Title","chromium","2026-08-05","passed","2026-08-05","","myFirstTest.spec.ts","",""
"","11990","Dropdown","chromium","2026-08-05","broken","2026-08-05","","Dropdown.spec.ts","",""
"","4958","xpath Locator- identifies multiple elements","chromium","2026-08-05","passed","2026-08-05","","xpathLocator.spec.ts","",""
"","15175","Text Input Actions- click, clear, fill, type, toBe, inputValue, getAttribute","chromium","2026-08-05","broken","2026-08-05","","radioButton.spec.ts","",""
"","3920","Correct credentials","chromium","2026-08-05","passed","2026-08-05","Login Validation","LoginTest.spec.ts","",""
"","3589","get started link","chromium","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","5612","Locator- getByText","chromium","2026-08-05","passed","2026-08-05","","builtinLocators.spec.ts","",""
"","454","Locator- getByTitle","chromium","2026-08-05","passed","2026-08-05","","builtinLocators.spec.ts","",""
"","8049","CSS Locator","chromium","2026-08-05","passed","2026-08-05","","cssLocator.spec.ts","",""
"","7346","Locator- getByAltText","chromium","2026-08-05","passed","2026-08-05","","builtinLocators.spec.ts","",""
"","2362","Incorrect credentials","chromium","2026-08-05","passed","2026-08-05","Login Validation","LoginTest.spec.ts","",""
"","9226","Radio Button","chromium","2026-08-05","passed","2026-08-05","","radioButton.spec.ts","",""
"","8368","xpath Locator","chromium","2026-08-05","passed","2026-08-05","","xpathLocator.spec.ts","",""
"","4354","Laptops count","chromium","2026-08-05","passed","2026-08-05","","Hooks.spec.ts","",""
"","3807","Phones count","chromium","2026-08-05","passed","2026-08-05","","Hooks.spec.ts","",""
"","4286","Locator- getByRole","chromium","2026-08-05","passed","2026-08-05","","builtinLocators.spec.ts","",""
"","9085","Locator- getByPlaceholder","chromium","2026-08-05","passed","2026-08-05","","builtinLocators.spec.ts","",""
